,user_id,ISBN,rating,title,author,Image,publisher,number of ratings
0,277427,002542730X,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,http://images.amazon.com/images/P/002542730X.01.LZZZZZZZ.jpg,John Wiley &amp; Sons Inc,82
159,277427,60542128,7,When the Storm Breaks,Heather Lowell,http://images.amazon.com/images/P/0060542128.01.LZZZZZZZ.jpg,HarperTorch,26
502,277427,61009059,9,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,http://images.amazon.com/images/P/0061009059.01.LZZZZZZZ.jpg,HarperTorch,108
2368,277427,316776963,8,Me Talk Pretty One Day,David Sedaris,http://images.amazon.com/images/P/0316776963.01.LZZZZZZZ.jpg,Back Bay Books,146
3187,277427,345413903,10,The Murder Book,Jonathan Kellerman,http://images.amazon.com/images/P/0345413903.01.LZZZZZZZ.jpg,Ballantine Books,86
3646,277427,380702843,8,The Return of the Indian (Indian in the Cupboard),Lynne Reid Banks,http://images.amazon.com/images/P/0380702843.01.LZZZZZZZ.jpg,HarperTrophy,34
3865,277427,380791978,9,The Family Tree,Sheri S. Tepper,http://images.amazon.com/images/P/0380791978.01.LZZZZZZZ.jpg,Eos,24
3945,277427,385424736,9,The Rainmaker,John Grisham,http://images.amazon.com/images/P/0385424736.01.LZZZZZZZ.jpg,Doubleday Books,180
4297,277427,385486804,9,Into the Wild,Jon Krakauer,http://images.amazon.com/images/P/0385486804.01.LZZZZZZZ.jpg,Anchor,71
4394,277427,385503857,9,Oryx and Crake,Margaret Atwood,http://images.amazon.com/images/P/0385503857.01.LZZZZZZZ.jpg,Nan A. Talese,58
4452,277427,385504209,8,The Da Vinci Code,Dan Brown,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg,Doubleday,224
4850,277427,399501487,9,Lord of the Flies,William Gerald Golding,http://images.amazon.com/images/P/0399501487.01.LZZZZZZZ.jpg,Perigee Trade,120
5300,277427,425116840,8,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,http://images.amazon.com/images/P/0425116840.01.LZZZZZZZ.jpg,Berkley Publishing Group,67
5511,277427,425133516,9,The Hunt for Red October (Jack Ryan Novels),Tom Clancy,http://images.amazon.com/images/P/0425133516.01.LZZZZZZZ.jpg,Berkley Publishing Group,32
6180,277427,425190749,7,Keepsake Crimes (First Scrapbooking Mystery),Laura Childs,http://images.amazon.com/images/P/0425190749.01.LZZZZZZZ.jpg,Berkley Publishing Group,25
6827,277427,440185327,5,Thurston House,Danielle Steel,http://images.amazon.com/images/P/0440185327.01.LZZZZZZZ.jpg,Dell,47
7177,277427,440224764,7,The Partner,John Grisham,http://images.amazon.com/images/P/0440224764.01.LZZZZZZZ.jpg,Dell Publishing Company,159
7540,277427,440236061,8,Unfit to Practice,Perri O'Shaughnessy,http://images.amazon.com/images/P/0440236061.01.LZZZZZZZ.jpg,Dell Publishing Company,36
7670,277427,440236738,9,Gone for Good,HARLAN COBEN,http://images.amazon.com/images/P/0440236738.01.LZZZZZZZ.jpg,Dell,45
7908,277427,440428130,8,Freckle Juice,JUDY BLUME,http://images.amazon.com/images/P/0440428130.01.LZZZZZZZ.jpg,Yearling,25
7989,277427,441627404,10,The Once and Future King,T. H. White,http://images.amazon.com/images/P/0441627404.01.LZZZZZZZ.jpg,Ace Books,31
8029,277427,446350982,9,Presumed Innocent,Scott Turow,http://images.amazon.com/images/P/0446350982.01.LZZZZZZZ.jpg,Warner Books,149
8188,277427,446600415,10,The Day After Tomorrow,Allan Folsom,http://images.amazon.com/images/P/0446600415.01.LZZZZZZZ.jpg,Warner Books,47
8513,277427,446608890,10,Saving Faith,David Baldacci,http://images.amazon.com/images/P/0446608890.01.LZZZZZZZ.jpg,Warner Vision,86
9293,277427,451191153,8,The Fountainhead,Ayn Rand,http://images.amazon.com/images/P/0451191153.01.LZZZZZZZ.jpg,New American Library,33
9363,277427,451203593,10,24 Hours,Greg Iles,http://images.amazon.com/images/P/0451203593.01.LZZZZZZZ.jpg,Signet Book,41
9437,277427,452284449,6,The Virgin Blue,Tracy Chevalier,http://images.amazon.com/images/P/0452284449.01.LZZZZZZZ.jpg,Plume Books,43
10339,277427,553280368,9,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,http://images.amazon.com/images/P/0553280368.01.LZZZZZZZ.jpg,Bantam,93
10493,277427,553351672,10,Doomsday Book,Connie Willis,http://images.amazon.com/images/P/0553351672.01.LZZZZZZZ.jpg,Spectra Books,46
10539,277427,553571656,10,The Beekeeper's Apprentice,LAURIE R. KING,http://images.amazon.com/images/P/0553571656.01.LZZZZZZZ.jpg,Bantam,41
10774,277427,553573926,10,Vertical Run,Joseph R. Garber,http://images.amazon.com/images/P/0553573926.01.LZZZZZZZ.jpg,Bantam Books,25
10799,277427,553574566,9,A Monstrous Regiment of Women,LAURIE R. KING,http://images.amazon.com/images/P/0553574566.01.LZZZZZZZ.jpg,Bantam,32
10906,277427,553581929,9,Special Circumstances,SHELDON SIEGEL,http://images.amazon.com/images/P/0553581929.01.LZZZZZZZ.jpg,Bantam,24
11499,277427,671528904,8,Mindhunter : Inside the FBI's Elite Serial Crime Unit,John E. Douglas,http://images.amazon.com/images/P/0671528904.01.LZZZZZZZ.jpg,Pocket,22
11549,277427,671727079,9,Winter's Tale,Mark Helprin,http://images.amazon.com/images/P/0671727079.01.LZZZZZZZ.jpg,Washington Square Press,27
11717,277427,679419853,10,A Simple Plan,Scott Smith,http://images.amazon.com/images/P/0679419853.01.LZZZZZZZ.jpg,Random House Inc,39
11946,277427,679731148,9,A Year in Provence,Peter Mayle,http://images.amazon.com/images/P/0679731148.01.LZZZZZZZ.jpg,Vintage Books USA,51
12020,277427,679736042,5,Toujours Provence (Vintage Departures),Peter Mayle,http://images.amazon.com/images/P/0679736042.01.LZZZZZZZ.jpg,Vintage Books USA,28
12365,277427,740723367,9,The Meaning Of Life,Bradley Trevor Greive,http://images.amazon.com/images/P/0740723367.01.LZZZZZZZ.jpg,Andrews McMeel Publishing,27
12392,277427,743406176,8,If Only It Were True,Marc Levy,http://images.amazon.com/images/P/0743406176.01.LZZZZZZZ.jpg,Atria,53
12445,277427,743412028,9,Pay It Forward,Catherine Ryan Hyde,http://images.amazon.com/images/P/0743412028.01.LZZZZZZZ.jpg,Pocket,70
12579,277427,743457943,8,Trading Places,Fern Michaels,http://images.amazon.com/images/P/0743457943.01.LZZZZZZZ.jpg,Pocket Star,29
12613,277427,767903382,10,Tender at the Bone: Growing Up at the Table,Ruth Reichl,http://images.amazon.com/images/P/0767903382.01.LZZZZZZZ.jpg,Broadway Books,22
13101,277427,836217691,10,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection,Bill Watterson,http://images.amazon.com/images/P/0836217691.01.LZZZZZZZ.jpg,Andrews McMeel Publishing,22
13184,277427,836218817,10,Unnatural Selections,Gary Larson,http://images.amazon.com/images/P/0836218817.01.LZZZZZZZ.jpg,Andrews McMeel Publishing,22
13312,277427,843947888,7,Among the Missing,Richard Laymon,http://images.amazon.com/images/P/0843947888.01.LZZZZZZZ.jpg,Leisure Books,23
14342,277478,006008216X,6,Get Shorty,Elmore Leonard,http://images.amazon.com/images/P/006008216X.01.LZZZZZZZ.jpg,HarperTorch,44
14497,277478,312113420,7,James Herriot's Cat Stories,James Herriot,http://images.amazon.com/images/P/0312113420.01.LZZZZZZZ.jpg,St. Martin's Press,21
14558,277478,312979533,7,A Place of Execution,Val McDermid,http://images.amazon.com/images/P/0312979533.01.LZZZZZZZ.jpg,St. Martin's Paperbacks,31
17388,277478,1558745718,8,Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul),Jack Canfield,http://images.amazon.com/images/P/1558745718.01.LZZZZZZZ.jpg,Health Communications,37
17639,277639,345335058,6,Ordinary People,Judith Guest,http://images.amazon.com/images/P/0345335058.01.LZZZZZZZ.jpg,Ballantine Books,40
17802,277639,034539657X,8,Dark Rivers of the Heart,Dean R. Koontz,http://images.amazon.com/images/P/034539657X.01.LZZZZZZZ.jpg,Ballantine Books,58
18176,277639,380731851,6,Mystic River,Dennis Lehane,http://images.amazon.com/images/P/0380731851.01.LZZZZZZZ.jpg,HarperTorch,130
18557,277639,425142485,7,The Funhouse,Dean R. Koontz,http://images.amazon.com/images/P/0425142485.01.LZZZZZZZ.jpg,Berkley Publishing Group,46
18603,277639,425147363,8,Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),Tom Clancy,http://images.amazon.com/images/P/0425147363.01.LZZZZZZZ.jpg,Berkley Publishing Group,63
18666,277639,042516098X,5,Hornet's Nest,Patricia Daniels Cornwell,http://images.amazon.com/images/P/042516098X.01.LZZZZZZZ.jpg,Berkley Publishing Group,97
18893,277639,440211727,8,A Time to Kill,JOHN GRISHAM,http://images.amazon.com/images/P/0440211727.01.LZZZZZZZ.jpg,Dell,210
19344,277639,440214041,9,The Pelican Brief,John Grisham,http://images.amazon.com/images/P/0440214041.01.LZZZZZZZ.jpg,Dell,236
20455,277639,451162145,8,Koko,Peter Straub,http://images.amazon.com/images/P/0451162145.01.LZZZZZZZ.jpg,Signet Book,33
20787,277639,553297260,8,Darkness,John Saul,http://images.amazon.com/images/P/0553297260.01.LZZZZZZZ.jpg,Bantam Books,40
21576,277639,812543262,8,Relic,Douglas Preston,http://images.amazon.com/images/P/0812543262.01.LZZZZZZZ.jpg,Tor Books,39
25684,278418,345369335,7,The Renegades of Pern (Dragonriders of Pern (Paperback)),Anne McCaffrey,http://images.amazon.com/images/P/0345369335.01.LZZZZZZZ.jpg,Del Rey Books,22
31655,278418,394800168,10,Green Eggs and Ham (I Can Read It All by Myself Beginner Books),Dr. Seuss,http://images.amazon.com/images/P/0394800168.01.LZZZZZZZ.jpg,Random House Books for Young Readers,26
31722,278418,394820371,8,The Phantom Tollbooth,Norton Juster,http://images.amazon.com/images/P/0394820371.01.LZZZZZZZ.jpg,Yearling Books,50
